,Title,Organization,Skills,Ratings,Review counts,Metadata
115,Natural Language Processing,DeepLearning.AI," Natural Language Processing, Supervised Learning, Markov Model, Text Mining, Dimensionality Reduction, Artificial Intelligence, Keras (Neural Network Library), Artificial Neural Networks, PyTorch (Machine Learning Library), Machine Learning, Deep Learning, Data Processing, Feature Engineering, Algorithms, Tensorflow, Computer Programming, Machine Learning Methods, Unstructured Data, Regression Analysis, Bayesian Statistics",4.6,6K reviews,Intermediate · Specialization · 3 - 6 Months
116,Meta Android Developer,Meta," React Native, Android Studio, Restful API, Version Control, User Research, UI/UX Research, Usability Testing, Git (Version Control System), Data Structures, Jest (JavaScript Testing Framework), Unix Commands, Android Jetpack, Android Development, Persona (User Experience), GitHub, Interaction Design, Kotlin, User Experience Design, User Interface and User Experience (UI/UX) Design, Mobile Development",4.6,8.3K reviews,Beginner · Professional Certificate · 3 - 6 Months
117,Introduction to Psychology ,IBM," Psychology, Mental and Behavioral Health Specialties, Psychiatry, Mental Health, Human Development, Human Learning, Social Sciences, Psychotherapy, Behavioral Health, Sociology, Creativity, Non-Verbal Communication",4.9,31K reviews,Beginner · Course · 1 - 3 Months
118,Meta Back-End Developer,Yale University," Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Unit Testing, Algorithms, Web Development",4.6,9K reviews,Beginner · Professional Certificate · 3 - 6 Months
119,IBM Cybersecurity Analyst,University of Pennsylvania," Cyber Threat Hunting, Incident Response, IT Service Management, Identity and Access Management, Cloud Computing, Governance Risk Management and Compliance, Information Technology Infrastructure Library, Endpoint Security, Malware Protection, Penetration Testing, Linux, Computer Security Incident Management, Database Management, Network Security, Networking Hardware, TCP/IP, Cybersecurity, Cyber Threat Intelligence, Interviewing Skills, Cyber Security Assessment",4.6,26K reviews,Beginner · Professional Certificate · 3 - 6 Months
120,Microsoft Business Analyst,Microsoft," React Native, iOS Development, Core Data (Software), Restful API, Version Control, Apple iOS, User Research, UI/UX Research, Usability Testing, Apple Xcode, Data Structures, Swift Programming, Jest (JavaScript Testing Framework), User Interface (UI), Unix Commands, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Mobile Development",4.6,828 reviews,Beginner · Professional Certificate · 3 - 6 Months
121,Meta iOS Developer,Meta," Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Unit Testing, Algorithms, Web Development",4.6,7.9K reviews,Beginner · Professional Certificate · 3 - 6 Months
122,Foundations of Positive Psychology,University of Pennsylvania," Microsoft Power Platform, Excel Formulas, Process Flow Diagrams, Business Process Modeling, User Story, Business Requirements, Stakeholder Management, Data Modeling, Microsoft Excel, Microsoft Visio, Software Development Life Cycle, Requirements Analysis, Requirements Elicitation, Quality Management, Pivot Tables And Charts, Power BI, Project Management Life Cycle, Microsoft Power Automate/Flow, Business Analysis, Project Management",4.8,8.1K reviews,Beginner · Specialization · 3 - 6 Months
123,Connect and Protect: Networks and Network Security,Google," Network Security, Intrusion Detection and Prevention, Hardening, TCP/IP, Cyber Attacks, Network Architecture, Computer Networking, Cloud Computing, Firewall, Network Infrastructure, Network Protocols, Virtual Private Networks (VPN)",4.8,5.9K reviews,Beginner · Course · 1 - 4 Weeks
124,Prepare Data for Exploration,Google," Data Ethics, Data Analysis, Data Security, Google Sheets, Databases, Data Storage, Data Quality, Data Integrity, Data Management, Data Collection, Data Manipulation, Relational Databases, SQL, Metadata Management, Unstructured Data",4.8,22K reviews,Beginner · Course · 1 - 3 Months
125,The Bits and Bytes of Computer Networking,Google," NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Data Security, Linux Commands, Data Migration, Database Design, Data Governance, MySQL, Apache Spark, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, Cloud Storage",4.7,51K reviews,Beginner · Course · 1 - 3 Months
126,Business Analytics,University of Pennsylvania," Computer Networking, Network Troubleshooting, TCP/IP, Network Architecture, Routing Protocols, Network Protocols, OSI Models, Network Infrastructure, Dynamic Host Configuration Protocol (DHCP), Virtual Private Networks (VPN), Network Security, Wireless Networks",4.6,18K reviews,Beginner · Specialization · 3 - 6 Months
127,IBM IT Support,IBM," Search Engine Marketing, Search Engine Optimization, Target Audience, Digital Marketing, Persona Development, Web Analytics and SEO, Marketing, Customer Engagement, Customer Acquisition Management, Advertising, Marketing Strategies, Lead Generation",4.7,11K reviews,Beginner · Professional Certificate · 3 - 6 Months
128,IBM Data Architecture,IBM," Deep Learning, Artificial Neural Networks, Tensorflow, Supervised Learning, Keras (Neural Network Library), Artificial Intelligence, Machine Learning, Python Programming, NumPy, Performance Tuning",4.6,6.3K reviews,Beginner · Professional Certificate · 3 - 6 Months
129,Attract and Engage Customers with Digital Marketing,Google," Social Studies, Storytelling, Cultural Diversity, Social Justice, Sociology, Political Sciences, Social Sciences, Education and Training, Economics, Advocacy, Land Management, Environment and Resource Management, Governance",4.8,6.7K reviews,Beginner · Course · 1 - 4 Weeks
130,"BI Foundations with SQL, ETL and Data Warehousing",IBM," Data Warehousing, SQL, Extract, Transform, Load, Apache Airflow, Linux Commands, IBM Cognos Analytics, Data Pipelines, Apache Kafka, Bash (Scripting Language), Shell Script, Data Visualization, Dashboard, File Management, Star Schema, Unix Shell, IBM DB2, Business Intelligence, Databases, Stored Procedure, Relational Databases",4.6,23K reviews,Beginner · Specialization · 3 - 6 Months
131,Neural Networks and Deep Learning,DeepLearning.AI," People Analytics, Data-Driven Decision-Making, Business Analytics, Descriptive Analytics, Business Intelligence, Human Resource Strategy, Financial Data, Marketing Analytics, Analytics, Talent Management, Financial Analysis, Predictive Analytics, Human Resources Management and Planning, Peer Review, Business Analysis, Financial Statement Analysis, Financial Forecasting, Customer Insights, Workforce Planning, Demand Planning",4.9,123K reviews,Intermediate · Course · 1 - 4 Weeks
132,IBM IT Support,University of Alberta," Cloud Computing Architecture, Peripheral Devices, Technical Support, Technical Support and Services, Cloud Services, Cybersecurity, Computing Platforms, Hardware Troubleshooting, IT Service Management, Cloud Security, Cloud Infrastructure, Network Troubleshooting, Encryption, Data Storage, Software Development Life Cycle, Professional Networking, Information Technology, Cloud Computing, Interviewing Skills, Computer Hardware",4.7,23K reviews,Mixed · Course · 1 - 3 Months
133,Project Planning: Putting It All Together,Google," Project Management Life Cycle, Project Management, Project Planning, Communication Planning, Project Documentation, Milestones (Project Management), Project Schedules, Risk Management, Cost Management, Budgeting, Estimation, Procurement, Technical Communication, Strategic Communication",4.8,14K reviews,Beginner · Course · 1 - 3 Months
134,IBM Data Warehouse Engineer,Stanford University," Data Warehousing, SQL, Extract, Transform, Load, Apache Airflow, Linux Commands, Database Design, IBM Cognos Analytics, MySQL, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Shell Script, Database Architecture and Administration, IBM DB2, Data Visualization, Relational Databases, Dashboard, Stored Procedure, Data Architecture",4.7,9.2K reviews,Beginner · Course · 1 - 3 Months
135,Writing in the Sciences,IBM," Grant Writing, Peer Review, Technical Writing, Technical Communication, Writing, Journals, Editing, Science and Research, Grammar, Proofreading, Storytelling, Data Ethics",4.9,5.8K reviews,Beginner · Professional Certificate · 3 - 6 Months
136,Meta Database Engineer,Meta," MySQL, Database Design, Version Control, Database Management Systems, MySQL Workbench, Extract, Transform, Load, Stored Procedure, Data Modeling, Data Structures, SQL, Database Theory, Unix Commands, Relational Databases, Databases, Git (Version Control System), Object Oriented Programming (OOP), Database Management, Unit Testing, Algorithms, Django (Web Framework)",4.6,6.9K reviews,Beginner · Professional Certificate · 3 - 6 Months
137,"TESOL Certificate, Part 1: Teach English Now!",Google," Lesson Planning, Peer Review, Teaching, Pedagogy, Curriculum Planning, Instructing, Learning Strategies, Instructional Strategies, Motivational Skills, Educational Materials, Learning Styles, Language Learning, Performance Review, Vocabulary, Design Elements And Principles, Learning Theory, Design Strategies, Lifelong Learning, Grammar, Public Speaking",4.9,17 reviews,Beginner · Course · 1 - 3 Months
138,Google Agile Essentials,IBM," Agile Project Management, Agile Methodology, Backlogs, User Story, Sprint Planning, Sprint Retrospectives, Kanban Principles, Waterfall Methodology, Prioritization, Cross-Functional Collaboration, Estimation",4.9,10K reviews,Beginner · Specialization · 3 - 6 Months
139,Data Analysis and Presentation Skills: the PwC Approach,PwC," Analytics, Business Analytics, Data Analysis, Microsoft PowerPoint, Data Presentation, Presentations, Excel Formulas, Data-Driven Decision-Making, Dashboard, Data Storytelling, Business Intelligence, Microsoft Excel, Customer Analysis, Data Visualization, Data Visualization Software, Big Data, Target Market, Data Cleansing, Public Speaking, Spreadsheet Software",4.6,11K reviews,Beginner · Specialization · 3 - 6 Months
140,DeepLearning.AI TensorFlow Developer,Arizona State University," Tensorflow, Computer Vision, Image Analysis, Keras (Neural Network Library), Natural Language Processing, Time Series Analysis and Forecasting, Deep Learning, Applied Machine Learning, Predictive Modeling, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Text Mining, Forecasting, Machine Learning, Supervised Learning, Data Processing, Data Transformation",4.7,19K reviews,Beginner · Specialization · 3 - 6 Months
141,Information Technology (IT) and Cloud Fundamentals,DeepLearning.AI," Cloud Computing Architecture, Peripheral Devices, Cloud Services, Cybersecurity, Computing Platforms, Cloud Security, Cloud Infrastructure, Network Troubleshooting, Cloud Platforms, Encryption, Data Storage, Cyber Attacks, Software Development Life Cycle, Networking Hardware, Application Development, Information Technology, Cloud Computing, Databases, Computer Hardware, Computer Systems",4.6,25K reviews,Intermediate · Professional Certificate · 3 - 6 Months
142,Excel Skills for Business,Macquarie University," Microsoft Excel, Dashboard, Excel Formulas, Spreadsheet Software, Data Visualization, Excel Macros, Data Validation, Data Analysis Expressions (DAX), Data Cleansing, Data Modeling, Business Intelligence, Financial Modeling, Workflow Management, Data Management, Microsoft 365, Consolidation, Data Integrity, Data Entry, Business Reporting, Productivity Software",4.9,62K reviews,Beginner · Specialization · 3 - 6 Months
143,IBM Project Manager,"Automatic Data Processing, Inc. (ADP)"," Stakeholder Engagement, Agile Software Development, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Team Motivation, Kanban Principles, Project Schedules, Project Management Institute (PMI) Methodology, Negotiation, Project Management, IT Management, Interviewing Skills, Professional Networking, Project Coordination",4.8,353 reviews,Beginner · Professional Certificate · 3 - 6 Months
144,ADP Entry-Level Payroll Specialist,IBM," Agile Software Development, Cloud Computing Architecture, Cloud Services, Agile Methodology, DevOps, Kanban Principles, Cloud Security, Cloud Infrastructure, Cloud Platforms, Cloud Computing, Agile Project Management, Cloud-Native Computing, User Story, Cloud Storage, Sprint Retrospectives, Sprint Planning, Workflow Management, CI/CD, Test Driven Development (TDD), Scrum (Software Development)",4.7,12K reviews,Beginner · Specialization · 3 - 6 Months
145,"DevOps, Cloud, and Agile Foundations",IBM," Stakeholder Engagement, Agile Software Development, Project Management Life Cycle, Resource Management, Risk Management, Peer Review, Earned Value Management, Stakeholder Management, Agile Methodology, Project Risk Management, Team Motivation, Kanban Principles, Project Schedules, Project Management Institute (PMI) Methodology, Negotiation, Project Management, IT Management, Interviewing Skills, Professional Networking, Project Coordination",4.8,4.5K reviews,Beginner · Professional Certificate · 3 - 6 Months
146,Workday Basics Series,Workday," Workday (Software), Security Controls, Business Process, Workflow Management, Business Reporting, Human Resources Software, System Configuration, Role-Based Access Control (RBAC), Organizational Structure",4.8,252 reviews,Beginner · Course · 1 - 4 Weeks
147,Generative AI Engineering with LLMs,IBM," Generative AI, Natural Language Processing, PyTorch (Machine Learning Library), ChatGPT, Text Mining, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Artificial Neural Networks, Deep Learning, Application Development, Feature Engineering, Artificial Intelligence, Document Management, Machine Learning Methods, Jupyter, Data Processing, Tensorflow, Applied Machine Learning, Application Frameworks, Performance Tuning",4.5,319 reviews,Intermediate · Specialization · 3 - 6 Months
148,Digital Product Management,University of Virginia," Usability Testing, Agile Product Development, New Product Development, Continuous Delivery, User Story, Product Management, Agile Methodology, Product Testing, Agile Project Management, Team Management, Design Thinking, Team Leadership, DevOps, Innovation, Analytics, Product Improvement, Business Analytics, Ideation, Product Lifecycle Management, Sprint Retrospectives",4.7,9.5K reviews,Beginner · Specialization · 3 - 6 Months
149,Leading the Modern Day Business,Google Cloud," Google Docs, Gmail, Google Sheets, Google Workspace, Presentations, Calendar Management, Spreadsheet Software, File Management, Excel Formulas, Productivity Software, Email Security, Document Management, Data Visualization, Excel Macros, Data Validation, Setting Appointments, Version Control, Meeting Facilitation, Sales Presentations, Collaboration",4.7,2.2K reviews,Beginner · Specialization · 3 - 6 Months
150,Getting started with Google Workspace,Microsoft," Microsoft 365, Network Security, Cloud Management, Microsoft Azure, Business Software, Computer Hardware, Virtual Machines, Identity and Access Management, Cybersecurity, Network Troubleshooting, Desktop Support, Virtual Private Networks (VPN), Azure Active Directory, Technical Support, Hardware Troubleshooting, Hardware Architecture, Generative AI, System Monitoring, Virtualization and Virtual Machines, Disaster Recovery",4.7,861 reviews,Beginner · Professional Certificate · 3 - 6 Months
151,Microsoft Cloud Support Associate,Stanford University," Pharmaceuticals, Health Systems, Healthcare Industry Knowledge, Health Care, Health Care Administration, Health Care Procedure and Regulation, Medicare, Quality Improvement, Quality Assessment, Performance Measurement, Regulatory Affairs, Payment Systems, Financial Systems, Insurance, Billing Systems, Business Ethics, Ethical Standards And Conduct",4.8,1.2K reviews,Beginner · Course · 1 - 3 Months
152,"Start the UX Design Process: Empathize, Define, and Ideate",Meta," Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Marketing Analytics, Bayesian Statistics, Descriptive Statistics, Marketing Effectiveness, Statistical Hypothesis Testing, Target Audience, Marketing Strategies, Data Cleansing, Pandas (Python Package), Data Modeling, Data Analysis, Data Visualization Software, Spreadsheet Software, A/B Testing, Data Collection, Marketing, Interviewing Skills",4.7,3.6K reviews,Beginner · Professional Certificate · 3 - 6 Months
153,Meta Marketing Analytics,IBM," Node.JS, Cloud Computing Architecture, Server Side, Cloud-Native Computing, React Redux, Cloud Services, NoSQL, MongoDB, React.js, Agile Methodology, Front-End Web Development, JavaScript Frameworks, Cloud Security, Hypertext Markup Language (HTML), HTML and CSS, Cloud Infrastructure, Restful API, Web Development, Web Development Tools, Back-End Web Development",4.6,9.6K reviews,Beginner · Specialization · 3 - 6 Months
154,Introduction to Healthcare,Microsoft," Microsoft 365, Network Security, Business Software, Computer Hardware, Cybersecurity, Desktop Support, Virtual Private Networks (VPN), Network Troubleshooting, Technical Support, Hardware Troubleshooting, Hardware Architecture, Generative AI, Operating Systems, Network Protocols, TCP/IP, Application Security, Microsoft Teams, Productivity Software, Information Systems Security, Multi-Factor Authentication",4.7,848 reviews,Beginner · Professional Certificate · 3 - 6 Months
155,Microsoft IT Support Specialist,Google," User Experience Design, User Story, Ideation, Usability, Web Content Accessibility Guidelines, User Research, Design Thinking, Human Centered Design, Competitive Analysis, Persona Development",4.8,16K reviews,Beginner · Course · 1 - 4 Weeks
156,Leading the Modern Day Business,University of Virginia," Design Thinking, Digital Transformation, Creative Problem-Solving, New Product Development, Ideation, Business Transformation, Product Management, Technology Strategies, Agile Product Development, Innovation, Creativity, Product Lifecycle Management, Strategic Thinking, Product Improvement, Market Opportunities, Information Technology, Competitive Analysis, Business Analysis, Business Strategy, Cyber Risk",4.7,18K reviews,Beginner · Course · 1 - 3 Months
157,Business Strategy,University of Virginia," Growth Strategies, Business Strategy, Strategic Thinking, Plan Execution, Business Strategies, Mergers & Acquisitions, Competitive Analysis, Organizational Strategy, Strategic Planning, Business Ethics, Peer Review, Data-Driven Decision-Making, Business Development, Business Planning, Corporate Strategy, Strategic Leadership, Strategic Decision-Making, Game Theory, Business Research, Project Management",4.8,21K reviews,Beginner · Specialization · 3 - 6 Months
158,IBM Applied DevOps Engineering,IBM," CI/CD, Open Web Application Security Project (OWASP), Istio, Continuous Integration, Agile Software Development, Application Deployment, Test Driven Development (TDD), Gherkin (Scripting Language), Kubernetes, Jenkins, DevOps, Code Coverage, OpenShift, Cloud Applications, Containerization, Agile Methodology, Behavior-Driven Development, Secure Coding, Grafana, System Monitoring",4.7,4.4K reviews,Beginner · Specialization · 3 - 6 Months
159,Process Data from Dirty to Clean,Google," Data Cleansing, Sampling (Statistics), Data Integrity, Data Quality, Data Validation, Google Sheets, Data Analysis, Data Manipulation, SQL, Data Transformation, Spreadsheet Software, Microsoft Excel",4.8,9.6K reviews,Beginner · Specialization · 3 - 6 Months
160,Regulatory Compliance,University of Pennsylvania," Compliance Training, Compliance Management, Regulatory Compliance, General Data Protection Regulation (GDPR), Law, Regulation, and Compliance, Compliance Auditing, Information Privacy, Governance Risk Management and Compliance, Personally Identifiable Information, Regulatory Requirements, Communication Planning, Risk Management, Internal Communications, Procedure Development, Data Security, Continuous Monitoring, Business Ethics, Governance, Internal Controls, Risk Analysis",4.8,5.1K reviews,Beginner · Course · 1 - 4 Weeks
161,Agile Project Management,Google," Agile Project Management, Backlogs, Agile Methodology, User Story, Sprint Planning, Product Roadmaps, Sprint Retrospectives, Employee Coaching, Team Management, Cross-Functional Collaboration, Prioritization",4.8,1.3K reviews,Beginner · Specialization · 3 - 6 Months
162,Tools of the Trade: Linux and SQL,Google," Bash (Scripting Language), Linux Commands, Command-Line Interface, Operating Systems, SQL, Linux, Cybersecurity, Linux Administration, Databases, Computer Hardware, Relational Databases, File Systems, User Accounts",4.8,14K reviews,Beginner · Course · 1 - 4 Weeks
163,Medical Billing and Coding Fundamentals,MedCerts," Medical Terminology, Revenue Cycle Management, Conflict Management, Anatomy, Cultural Responsiveness, Medical Records, Electronic Medical Record, Cultural Diversity, Cultural Sensitivity, Professionalism, Health Care Procedure and Regulation, Patient Education and Support, Health Information Management and Medical Records, Professional Development, Medical Office Procedures, Billing, Verbal Communication Skills, Time Management, Medical Science and Research, Health Care",4.8,6.9K reviews,Intermediate · Professional Certificate · 3 - 6 Months
164,Graphic Design,California Institute of the Arts," Typography, Design Elements And Principles, Graphic Design, Graphic and Visual Design, Logo Design, Digital Design, Color Theory, Adobe InDesign, Brand Strategy, Style Guides, Branding, Graphic and Visual Design Software, Creative Design, Design, Visual Design, Adobe Photoshop, Design Strategies, Design Reviews, Design Research, Storytelling",4.7,23K reviews,Beginner · Specialization · 3 - 6 Months
165,Digital Marketing,University of Illinois Urbana-Champaign," Data Storytelling, Data Visualization, Email Marketing, Data Presentation, Google Analytics, Digital Marketing, Analytics, Marketing Communications, Business Analytics, Content Marketing, Marketing Strategies, Marketing Analytics, Social Media Marketing, Marketing Management, Marketing, Web Analytics, Strategic Marketing, Digital Communications, Integrated Marketing Communications, Media Strategy",4.7,2.5K reviews,Intermediate · Specialization · 3 - 6 Months
166,Cybersecurity Fundamentals,IBM," Encryption, Identity and Access Management, Public Key Infrastructure, Endpoint Security, Cryptography, Network Security, Cybersecurity, Threat Detection, Cyber Attacks, Cryptographic Protocols, Data Security, Email Security, Computer Security Awareness Training, Advanced Encryption Standard (AES), Security Awareness, Key Management, Secure Coding, Technical Support and Services, Information Technology, Cyber Security Strategy",4.8,9.3K reviews,Beginner · Course · 1 - 3 Months
167,Project Execution: Running the Project,Google," Quality Management, Project Closure, Project Management, Continuous Improvement Process, Project Controls, Quality Monitoring, Team Management, Project Risk Management, Data-Driven Decision-Making, Project Documentation, Stakeholder Communications, Technical Communication, Meeting Facilitation, Communication",4.8,1.4K reviews,Beginner · Specialization · 3 - 6 Months
168,Construction Management,Columbia University," Project Schedules, Construction Management, Construction Estimating, Project Finance, Cost Estimation, Project Risk Management, Bidding, Building Information Modeling, Scheduling, Cost Control, Environment Health And Safety, Risk Management, Project Closure, Lean Methodologies, Project Controls, Real Estate, Cash Flows, Business Transformation, Innovation, Architecture and Construction",4.7,9.2K reviews,Beginner · Specialization · 3 - 6 Months
169,Learn SQL Basics for Data Science,"University of California, Davis"," Artificial Intelligence, Jupyter, Python Programming, Data Analysis, OpenAI, Application Development, Generative AI, Scripting, Programming Principles, Automation, Computer Programming, Application Programming Interface (API), Development Environment, Debugging, Data Structures",4.8,18K reviews,Beginner · Specialization · 3 - 6 Months
170,AI Python for Beginners,DeepLearning.AI," Data Governance, Presentations, Feature Engineering, A/B Testing, Data Cleansing, SQL, Apache Spark, Distributed Computing, Descriptive Statistics, Data Lakes, Data Storytelling, Peer Review, Exploratory Data Analysis, Data Quality, Data Pipelines, Databricks, JSON, Statistical Analysis, Query Languages, Data Manipulation",4.6,65 reviews,Beginner · Course · 1 - 4 Weeks
171,Supply Chain Management,Rutgers the State University of New Jersey," Threat Modeling, MITRE ATT&CK Framework, Penetration Testing, Azure Active Directory, Network Security, Computer Systems, Security Information and Event Management (SIEM), Security Testing, Encryption, Cybersecurity, Cyber Security Strategy, System Testing, Cloud Security, Threat Management, Cloud Computing, Business Software, Cyber Attacks, Authentications, Active Directory, Data Management",4.7,15K reviews,Beginner · Specialization · 3 - 6 Months
172,"IBM Deep Learning with PyTorch, Keras and Tensorflow",IBM," Strategic Sourcing, Lean Six Sigma, Lean Manufacturing, Demand Planning, Procurement, Supplier Relationship Management, Manufacturing Operations, Forecasting, Process Improvement, Supplier Management, Operations Management, Purchasing, Supply Management, Operational Efficiency, Warehouse Management, Supply Chain Planning, Sales Management, Inventory and Warehousing, Inventory Management System, Transportation, Supply Chain, and Logistics",4.7,3.6K reviews,Intermediate · Professional Certificate · 3 - 6 Months
173,Microsoft Cybersecurity Analyst,Microsoft," Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Data Management, Data Collection, Data Governance, Bayesian Statistics, Data Analysis, Descriptive Statistics, Statistical Hypothesis Testing, Information Privacy, Data Cleansing, Pandas (Python Package), Data Visualization Software, Statistical Inference, Spreadsheet Software, Correlation Analysis, Google Sheets, Exploratory Data Analysis, Data Manipulation",4.7,2.4K reviews,Beginner · Professional Certificate · 3 - 6 Months
174,Preparing for Google Cloud Certification: Cloud Architect,Google Cloud," Growth Mindedness, Optimism, Positive Behavior Support, Goal Setting, Resilience, Self-Motivation, Self-Awareness, Emotional Intelligence, Mental Health, Psychology, Social Skills, Decision Making, Time Management",4.9,59K reviews,Intermediate · Professional Certificate · 3 - 6 Months
175,Pharmacy Technician Fundamentals,MedCerts," PyTorch (Machine Learning Library), Keras (Neural Network Library), Unsupervised Learning, Reinforcement Learning, Deep Learning, Data Manipulation, Tensorflow, Verification And Validation, Generative AI, Artificial Neural Networks, Data Processing, Predictive Modeling, Applied Machine Learning, Statistical Methods, Artificial Intelligence and Machine Learning (AI/ML), Data Import/Export, Artificial Intelligence, Machine Learning, Scientific Visualization, Computer Vision",4.5,958 reviews,Beginner · Specialization · 3 - 6 Months
176,Meta Data Analyst,Meta," Medical Terminology, Conflict Management, Anatomy, Cultural Responsiveness, Patient Safety, Cultural Diversity, Pharmacy, Cultural Sensitivity, Pharmaceuticals, Professionalism, Medication Administration, Patient Education and Support, Professional Development, Medical Records, Time Management, Emotional Intelligence, Hazard Communication (HazCom), Health Information Management and Medical Records, Medical Science and Research, Practice Management Software",4.8,1.3K reviews,Beginner · Professional Certificate · 3 - 6 Months
177,Entrepreneurship,University of Pennsylvania," Triage, Crisis Intervention, Rapport Building, Emergency Response, First Aid, Community Mental Health Services, Mental Health, Stress Management, Patient Referral, Health Assessment",4.8,5.6K reviews,Beginner · Specialization · 3 - 6 Months
178,The Science of Well-Being,Yale University," Cloud Infrastructure, Kubernetes, Google Cloud Platform, Identity and Access Management, Infrastructure As A Service (IaaS), Application Deployment, Containerization, Cloud Applications, Cloud Computing, CI/CD, Cloud Computing Architecture, Cloud Security, Cloud Management, Load Balancing, Service Level Agreement, Infrastructure as Code (IaC), Virtual Machines, Microservices, Service Level, Network Planning And Design",4.7,39K reviews,Mixed · Course · 1 - 3 Months
179,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud," Growth Strategies, Key Performance Indicators (KPIs), Entrepreneurial Finance, Entrepreneurship, Digital Marketing, Performance Measurement, Business Valuation, Customer Acquisition Management, Peer Review, Branding, Lean Methodologies, Business Metrics, Marketing Strategies, Financial Analysis, Presentations, Team Building, Project Finance, Ideation, Target Market, New Product Development",4.8,7K reviews,Intermediate · Professional Certificate · 3 - 6 Months
180,Improve Your English Communication Skills,Google Cloud," Cloud Infrastructure, Kubernetes, Google Cloud Platform, Identity and Access Management, Infrastructure As A Service (IaaS), Containerization, Cloud Applications, Cloud Management, Load Balancing, Cloud Engineering, Infrastructure as Code (IaC), Virtual Machines, Cloud Computing Architecture, Cloud Computing, Cloud Storage, Data Storage, Application Deployment, Docker (Software), Network Infrastructure, Cloud Services",4.7,27K reviews,Beginner · Specialization · 3 - 6 Months
181,Preparing for Google Cloud Certification: Cloud Engineer,Johns Hopkins University," Triage, Crisis Intervention, Rapport Building, Emergency Response, First Aid, Community Mental Health Services, Mental Health, Stress Management, Patient Referral, Health Assessment",4.8,59K reviews,Intermediate · Professional Certificate · 3 - 6 Months
182,Preparing for Google Cloud Certification: Machine Learning Engineer,DeepLearning.AI," Unsupervised Learning, Artificial Intelligence and Machine Learning (AI/ML), Data Ethics, Machine Learning, Machine Learning Algorithms, Supervised Learning, Artificial Intelligence, Reinforcement Learning, Artificial Neural Networks, Deep Learning, Anomaly Detection, Dimensionality Reduction, Algorithms, Regression Analysis",4.9,7K reviews,Intermediate · Professional Certificate · 3 - 6 Months
183,Introduction to Statistics,Google Cloud," Cloud Infrastructure, Google Cloud Platform, Identity and Access Management, Infrastructure As A Service (IaaS), Application Deployment, Cloud Applications, Kubernetes, Cloud Computing, CI/CD, Cloud Security, Load Balancing, Service Level Agreement, Infrastructure as Code (IaC), Virtual Machines, Microservices, Service Level, Cloud Computing Architecture, Cloud Storage, Data Storage, Network Architecture",4.7,3.9K reviews,Beginner · Course · 1 - 3 Months
184,Architecting with Google Compute Engine,University of Alberta," Reinforcement Learning, Machine Learning, Sampling (Statistics), Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Machine Learning Algorithms, Deep Learning, Systems Development, Simulations, Solution Architecture, Feature Engineering, Markov Model, Supervised Learning, Artificial Neural Networks, Applied Machine Learning, Performance Testing, Algorithms, Statistical Methods, Pseudocode, Linear Algebra",4.7,58K reviews,Intermediate · Specialization · 3 - 6 Months
185,"Unsupervised Learning, Recommenders, Reinforcement Learning",Google Cloud," Cloud Security, Identity and Access Management, Intrusion Detection and Prevention, Incident Response, Computer Security Incident Management, Threat Management, Cyber Threat Hunting, Risk Management Framework, Cyber Operations, Vulnerability Management, Continuous Monitoring, Event Monitoring, Disaster Recovery, Incident Management, Generative AI, DevSecOps, Cloud Computing, Data Security, Google Cloud Platform, Cybersecurity",4.6,4.4K reviews,Beginner · Course · 1 - 4 Weeks
186,Analyze Data to Answer Questions,Georgia Institute of Technology," Presentations, Sales Presentations, Business Writing, Verbal Communication Skills, Business Correspondence, Public Speaking, Cultural Diversity, Professional Networking, Cultural Sensitivity, Vocabulary, Intercultural Competence, Business Communication, Communication, Interpersonal Communications, LinkedIn, Writing, Professionalism, Web Content, Interviewing Skills, Instagram",4.7,12K reviews,Beginner · Course · 1 - 4 Weeks
